================================================================================
N-BODY SIMULATION RESULTS
Simulation Type: Threaded
Date: 2025-12-27 01:08:28
================================================================================

PERFORMANCE METRICS
--------------------------------------------------------------------------------
Number of bodies: 1000
Number of steps: 100
Total execution time: 194.0335 seconds
Average time per step: 1.9403 seconds
Min time per step: 1.5432 seconds
Max time per step: 2.2714 seconds
Throughput: 515.37 body-steps/second

================================================================================

BODY INFORMATION
--------------------------------------------------------------------------------
Index    X            Y            Z            VX           VY           VZ           Mass      
64       -1.8048      -7.8612      5.5680       -0.1241      0.0356       2.3031       0.2001    
65       -0.3720      -8.2861      -0.5430      -0.4033      3.1243       0.2842       0.6843    
66       4.3131       1.5718       7.8343       -1.2498      -0.1215      -2.9595      0.3012    
67       10.2896      -9.5178      7.8662       1.7538       0.4408       -2.8834      0.9937    
68       -7.6127      1.1936       8.0611       1.5911       0.6374       -3.3013      0.5091    
69       1.8238       1.1773       6.6841       -1.3744      -1.4195      -2.9213      0.9012    
70       -1.0862      2.7243       -3.9421      -1.4320      1.8222       1.1635       0.6253    
71       -7.6854      8.6910       8.8086       1.5506       -1.6619      -1.8703      0.8324    
72       3.5695       -6.0001      7.2194       -0.3992      1.4474       -2.0839      0.6521    
73       -1.5158      7.1160       6.2897       0.3606       -3.0152      -2.1017      0.8295    
74       8.3989       -6.1348      1.8560       -2.7829      1.6005       -0.2152      0.8545    
75       -1.3593      -3.8327      -2.6290      -1.2392      -4.0992      3.4482       0.9997    
76       8.5903       1.2071       4.7238       -2.8235      0.1342       -1.3182      0.5055    
77       -7.0198      7.8659       1.9768       0.6736       -2.6342      -0.6882      0.4223    
78       -7.8463      6.3774       0.6226       -1.0839      7.5330       0.3520       0.5967    
79       1.2435       6.1545       -1.0789      0.2499       -2.7256      1.8385       0.6583    
80       81.6925      -71.6271     32.1223      125.4055     -106.7213    63.6796      0.4530    
81       -9.5288      16.8381      -6.2428      -10.2189     10.3322      -3.8367      0.6599    
82       6.7286       8.0036       -6.5473      -1.1442      -1.9750      1.0822       0.5132    
83       7.5120       -0.1021      -3.3161      -4.5927      0.1017       0.6608       0.2160    
84       -5.8710      -6.1366      -6.6979      3.7399       1.8217       1.1990       0.9071    
85       -0.8426      2.5383       -5.3247      -0.3685      -1.3270      2.6924       0.3507    
86       -5.4848      -6.8634      -6.7238      2.0931       3.5111       2.1795       0.5531    
87       3.5807       -7.7847      5.7646       -0.4684      3.1968       -0.3475      0.9288    
88       -7.2968      -4.2210      5.2167       3.0227       0.5704       -1.7898      0.4334    
89       -0.3157      2.2665       -2.2604      -0.1061      -0.1345      0.7481       0.3272    
90       3.5709       6.3782       0.4502       -1.5876      -3.0851      0.5662       0.5794    
91       -4.6717      -4.0350      -2.3479      1.0323       1.2038       0.2380       0.3947    
92       -6.7871      7.2599       1.6516       1.3881       -1.0419      -0.4288      0.1782    
93       0.6992       1.5297       3.9810       -0.0699      -0.3115      -1.8052      0.4268    
94       2.7125       1.2958       -2.2204      -0.4884      -0.3072      1.5061       0.1916    
95       -5.8151      -4.7990      -5.8347      2.4478       0.7588       2.3359       0.9071    
96       -6.7517      0.6787       -1.8196      3.3097       0.5129       -0.0671      0.9725    
97       6.4787       5.4888       -4.0014      -1.6736      -1.7615      1.6773       0.6011    
98       0.8932       -3.5880      4.8181       -1.2109      1.7582       -1.0147      0.5568    
99       -4.7411      -6.5654      2.4587       0.9531       2.3049       0.7780       0.5330    
100      0.3353       -7.5161      -3.0192      -0.5536      3.0349       0.4208       0.3901    
101      2.1913       -1.6131      5.0827       -7.0073      5.6669       2.0966       0.4707    
102      -2.3942      7.2669       5.9374       1.2425       -2.6579      -1.4106      0.9445    
103      -5.4976      -7.3882      4.1945       1.7123       2.6525       -1.1853      0.8157    
104      -5.2074      -6.0819      -6.3623      2.3154       0.8407       1.3243       0.4229    
105      6.6991       -2.7480      5.5930       2.4955       -3.1688      0.5644       0.3712    
106      2.3180       9.0005       1.8506       -4.4599      12.8521      11.1509      0.9158    
107      2.4741       -6.6955      7.5378       -0.0535      2.0456       -2.5199      0.8146    
108      1.8896       1.0170       6.6541       -1.4359      1.7621       -2.1719      0.3236    
109      4.2881       -7.7887      1.2183       -1.4558      3.1465       -0.3634      0.8391    
110      -6.8881      6.2585       -6.6688      1.8431       -1.4371      1.6666       0.3063    
111      3.9020       4.1413       2.0031       -1.1672      -0.4673      -1.6933      0.4111    
112      -5.7599      7.0276       1.5664       1.2117       -2.2089      -0.2341      0.2380    
113      0.9501       0.3481       2.0320       -1.4459      0.3411       -0.6414      0.6086    
114      3.3546       7.1013       3.6477       -1.1178      -2.7701      -1.0547      0.4817    
115      4.4191       7.6923       7.6169       -0.8490      -1.8523      -2.0174      0.8550    
116      -6.6634      7.6074       6.5532       1.7357       -1.6926      -1.7191      0.1493    
117      -3.0511      6.1127       -8.5785      0.4584       -0.1646      2.8632       0.9279    
118      -2.9640      -2.6013      3.8778       0.3923       1.1322       -1.6635      0.2268    
119      -5.8223      0.4032       -1.2785      -0.6177      6.6140       1.8334       0.6690    
120      -8.2013      2.7020       -5.4782      3.0823       -1.0968      2.0413       0.1768    
121      8.1623       0.2315       1.4607       -3.6017      0.3403       -0.7726      0.9082    
122      2.2613       -7.3442      -30.2776     25.2483      -3.4926      -65.4172     0.7980    
123      -0.7776      0.7966       -0.7047      0.3333       0.7235       1.1823       0.2637    
124      7.6212       8.5298       -3.2242      1.5734       -0.9816      -1.8036      0.1228    
125      -5.9619      3.6949       2.5430       1.9920       -1.2285      -1.2273      0.7047    
126      -8.3027      -9.3899      7.8031       2.9528       -3.5080      4.7072       0.1895    
127      -4.2962      3.9987       6.2387       1.6760       -0.8643      -1.8541      0.2845    
128      -3.4681      6.7891       -8.4172      1.6376       -2.2912      2.8921       0.2633    
129      1.0894       -2.6584      6.9722       -1.4810      -16.8981     4.1264       0.4417    
130      2.9804       -1.3980      1.7967       5.6355       11.1762      -2.3418      0.3650    
131      6.2120       4.5602       -8.5321      -6.1625      -1.3645      -3.0377      0.8199    
132      2.1087       -0.8026      -11.7520     4.1804       10.5527      -7.5766      0.2254    
133      5.5051       7.2274       0.2995       -3.4934      -7.2478      -0.1019      0.9229    
134      -6.4164      1.5549       -3.5835      2.4898       0.0540       1.9667       0.2858    
135      -8.7252      -6.7453      7.1564       2.0561       1.0688       -1.7181      0.6985    
136      -5.7344      7.0821       -1.8237      1.5549       -2.4924      -0.2638      0.2497    
137      3.9813       -7.3290      1.2992       -1.7258      2.3577       -1.6362      0.4201    
138      3.7646       -3.3000      1.0885       -1.2512      1.5510       -0.6255      0.7593    
139      -5.0951      -8.1037      -4.5232      1.2215       2.7037       0.4919       0.6372    
140      -2.8287      4.6284       -6.8847      1.0702       -1.6985      1.9741       0.7196    
141      -0.8983      -4.3388      5.1520       0.8331       1.5163       -2.6319      0.6312    
142      -2.5068      -7.2356      7.1921       0.6374       1.7981       -2.3598      0.2666    
143      0.8714       6.3571       4.0336       0.0549       -2.2848      -1.3694      0.8643    
144      -4.3636      0.1077       -4.8214      1.1530       0.5711       1.6739       0.7350    
145      7.5653       -5.7232      1.5039       -1.9615      1.4022       0.3435       0.3676    
146      7.5205       8.6816       7.9852       -1.9273      -1.4376      -1.8665      0.3872    
147      5.4890       -7.9549      1.6436       -2.0980      2.9550       -0.4357      0.7267    
148      -2.9143      4.0777       -7.2739      0.6098       -0.8203      2.8178       0.3869    
149      2.3927       6.3172       1.3989       0.1264       -2.7549      -2.1276      0.1191    
150      6.7334       0.4642       7.6126       -1.6151      -0.2988      -2.3230      0.7905    
151      -0.8217      -0.9357      1.7687       4.4920       2.5029       -1.1280      0.4760    
152      -1.7300      3.0666       -4.7700      -0.0603      -3.0272      1.5284       0.3667    
153      -10.9165     -9.1218      -4.3328      -6.7342      0.6808       7.0554       0.7117    
154      -6.0257      8.5928       4.8723       -3.3596      1.7709       -2.9808      0.9503    
155      -1.6271      2.3379       -3.2803      -0.8819      0.4707       4.9424       0.6847    
156      1.8791       0.2168       -4.3850      -0.5291      -0.0112      2.1742       0.8016    
157      -2.5337      -7.8324      8.2034       0.8785       1.9617       -2.5319      0.2565    
158      -23.2407     6.6261       28.0035      -33.3508     2.4794       37.5250      0.3014    
159      0.3453       1.5575       1.2723       -0.7669      -0.6825      -0.6542      0.2166    
160      7.5801       7.1967       5.0442       0.3382       -4.1742      -6.5028      0.1783    
161      -1.4024      -2.0550      -4.0238      0.7130       0.8506       1.7296       0.2982    
162      3.6289       -7.4255      6.1182       -0.1175      2.0004       -2.0112      0.8422    
163      11.8910      -4.5540      -6.9724      25.0126      -13.0895     -13.3889     0.6926    
164      6.3983       6.4169       3.6868       -1.3075      -1.9710      -0.9128      0.6568    
165      4.8602       -6.7928      6.8497       3.0688       2.1287       -4.3482      0.2160    
166      -2.6126      4.1254       -5.9998      1.2178       -1.4955      1.5287       0.1057    
167      -3.8441      1.9962       8.0164       0.8770       -0.6692      -3.3348      0.5860    
168      5.2342       -6.7201      4.9876       -0.7959      2.1272       -0.3392      0.6694    
169      7.7796       -4.4243      7.1854       -1.7372      4.6782       -2.4754      0.7374    
170      -6.8430      1.4173       -2.7998      4.4825       -0.5418      0.5326       0.9761    
171      11.6320      4.6232       -1.9412      5.9320       -1.0275      11.6709      0.3912    
172      -0.2091      4.5730       3.2342       0.1055       -1.6655      -0.9442      0.4836    
173      -0.8648      -5.7858      5.0326       0.1997       2.0183       -1.6536      0.7124    
174      4.4384       -2.0946      8.3694       0.8500       2.9831       -2.2772      0.4778    
175      2.7397       -1.6783      -3.7830      -0.2938      0.4288       1.3811       0.3070    
176      -5.0319      -7.8103      3.1269       1.4000       3.1554       0.1491       0.9714    
177      -5.4467      6.8855       5.0806       1.6949       -1.0020      -0.9334      0.6636    
178      -6.7655      -8.3547      7.5150       1.2107       1.9421       -1.8302      0.2056    
179      -6.3514      3.1136       -1.5805      2.4253       -1.2853      -0.3763      0.6238    
180      -4.0721      4.7951       -3.3610      1.0460       -2.3136      0.9813       0.4532    
181      -0.4726      1.3472       -4.2482      2.6127       -6.7075      -0.6238      0.1357    
182      -0.2920      -7.0467      -4.5618      0.1523       1.8150       1.3052       0.6563    
183      3.6860       1.0433       -8.3497      -0.7034      -0.3209      3.0292       0.4156    
184      66.5193      -62.8943     -43.3507     94.5319      -67.9857     -51.6524     0.8205    
185      -5.5877      -6.0053      -6.9096      0.7578       1.1348       2.8495       0.9426    
186      -7.4749      0.7851       3.5760       3.0128       -0.2751      -1.2306      0.4055    
187      5.4771       -7.0337      6.9528       -1.9812      2.7094       -1.9969      0.6792    
188      0.2990       4.1464       -7.0502      -0.3860      -1.0349      2.6965       0.8846    
189      -5.2659      7.9232       -3.0081      0.8725       -3.2931      0.4885       0.5484    
190      0.7187       3.6485       -4.6450      -0.9288      -1.6444      1.6426       0.2796    
191      3.0351       -7.5709      -8.2935      -1.1380      1.9809       2.1500       0.7545    
192      3.2971       -3.1018      -2.1315      -3.3526      -4.8938      2.5363       0.8803    
193      3.0374       -1.8227      4.2377       2.8324       -1.3999      -0.8752      0.4795    
194      -3.5278      1.3810       6.5661       2.1329       -1.1869      -1.6851      0.7598    
195      -6.6123      3.9079       7.2326       1.6390       -0.7772      -2.0217      0.2629    
196      6.0425       -0.7182      -4.3634      -2.1661      -1.2685      1.5163       0.4233    
197      -4.7939      -5.0517      6.4418       -7.8095      2.5677       9.5798       0.3927    
198      5.0511       -6.6358      7.7606       -0.9873      1.5561       -3.3602      0.2528    
199      0.5141       -2.6937      5.5802       0.1632       1.1178       -1.9966      0.7361    
200      -13.1863     -4.4969      12.8421      -21.2229     5.2305       65.0125      0.8598    
201      5.3558       1.5058       6.3634       -1.5508      -0.3027      -1.9530      0.1514    
202      0.4515       7.9143       -7.7598      -0.3577      -1.3386      3.1415       0.3845    
203      -1.4264      -8.3297      -7.1799      -2.0932      1.0587       -0.7619      0.9566    
204      1.9818       6.2255       -0.5700      -2.4656      -1.8371      0.7092       0.2257    
205      -7.9842      -3.4969      4.0096       2.9883       0.6607       -0.2544      0.1845    
206      2.7287       -1.1207      6.3706       -1.4031      0.0015       -2.0892      0.9502    
207      2.9749       -0.0850      1.9864       -1.4688      -0.0925      -0.6026      0.9379    
208      3.4612       2.8078       -4.7893      -0.7428      -1.3749      1.8371       0.1959    
209      3.0807       8.6954       -7.9687      -0.4099      -2.3042      1.8089       0.8041    
210      1.1497       4.2245       6.3196       -0.3714      -1.0939      -2.6155      0.8271    
211      4.5301       5.0186       -0.6904      -1.6126      -1.8421      1.3333       0.1052    
212      -2.8964      -2.3377      -1.8765      1.2401       0.7032       0.4170       0.3138    
213      52.5800      -181.0321    -166.4792    88.5314      -283.5887    -255.4367    0.5171    
214      -2.0429      6.2379       0.5926       0.7611       -2.1601      0.4685       0.4422    
215      -1.8196      1.8070       0.9005       0.5433       1.0375       1.1496       0.7463    
216      8.4258       -8.4001      -6.3324      0.9941       3.2894       0.8819       0.3191    
217      8.0944       -7.7728      8.5553       -0.9809      1.7621       -0.5837      0.3311    
218      -3.9347      -3.3956      4.9222       0.6724       1.0005       -2.3013      0.7445    
219      -4.2828      -1.9252      -6.8087      0.7603       -0.4894      1.7754       0.5726    
220      3.8428       -7.0339      1.3244       -0.4778      1.2059       -0.0432      0.8254    
221      2.3849       -7.2791      0.4738       12.0670      5.3566       -15.8519     0.8958    
222      -4.5073      -4.8474      2.7250       1.9270       1.8389       1.2642       0.4181    
223      -4.3875      4.7151       -3.6515      1.8360       -1.8412      1.8635       0.1860    
224      1.5153       -0.5497      1.5090       -2.1425      0.7123       -0.7616      0.2951    
225      -7.7835      -8.6749      3.5210       -0.4945      1.6711       2.2404       0.4518    
226      1.4952       -0.1198      7.9231       -0.6199      -0.1003      -3.7138      0.4854    
227      3.8973       3.2966       8.3095       -0.8514      -1.0663      -3.1864      0.6205    
228      -4.4280      -7.5691      -7.4880      0.0086       1.8658       1.8356       0.3040    
229      -2.7712      -7.0856      0.2938       -0.5483      3.1043       0.9959       0.5860    
230      6.3737       1.0536       0.1860       -0.9224      -2.3943      -1.0046      0.9947    
231      2.4793       0.8814       3.8047       -1.5671      -0.4319      -1.6675      0.9619    
232      -5.5029      2.5984       -4.7620      3.9098       -0.5427      2.0023       0.7805    
233      -2.4630      2.7967       5.0231       1.1089       -0.9841      -1.7834      0.2372    
234      8.5968       7.6189       0.9314       -2.6486      -1.8993      0.2506       0.1802    
235      4.8580       -6.7805      5.9546       -0.6448      0.7748       -0.9176      0.3728    
236      -7.0856      -0.2617      -8.4173      -5.4218      5.4365       -0.7729      0.4573    
237      -0.9344      1.7977       0.3504       0.5662       -0.6212      -0.4633      0.8663    
238      -4.9346      7.3939       -6.8639      1.8232       -2.5055      1.5163       0.8813    
239      5.4882       5.0173       -3.4090      -1.1732      -1.5523      1.1240       0.7255    
240      -4.5042      7.9562       3.9764       -13.1671     -2.9365      7.3968       0.9305    
241      0.0040       1.7223       4.2927       0.6497       -0.8203      -2.0357      0.2317    
242      -4.8364      -12.3037     -7.3230      -2.4882      -3.7913      3.1046       0.9692    
243      -1.4753      -2.9085      0.1011       -0.2884      1.8222       -0.1196      0.2944    
244      1.9174       2.7717       -5.8934      -0.8936      -0.5397      2.1540       0.1523    
245      8.4990       -7.6494      3.5281       -3.2510      2.7221       -0.6617      0.2092    
246      -3.8421      -6.8555      3.6874       0.3152       2.4302       -0.4631      0.8326    
247      1.0788       -4.0480      2.2472       -3.8933      -2.0643      -0.1023      0.8979    
248      -0.8241      -5.2549      -2.4455      0.3635       1.7080       0.3527       0.7924    
249      -8.2415      -1.3971      -0.3375      3.2573       0.6464       0.0252       0.2234    
250      0.4627       -5.2169      -8.2150      -0.4486      0.9703       3.0126       0.9636    
251      -0.1017      -6.9365      1.1238       1.8276       2.0394       1.2911       0.5394    
252      -5.9249      -3.3720      4.6293       2.0070       -0.0796      -0.0424      0.5135    
253      6.8836       10.2694      6.2236       1.1845       2.1958       -4.0939      0.4938    
254      -4.0042      6.1493       -7.9642      1.7948       -1.2805      2.5488       0.6934    
255      6.6436       2.7063       0.9252       -2.3524      -0.8197      -3.0979      0.7637    
256      0.1056       3.5018       -7.5219      -0.1445      -0.2440      3.4909       0.1641    
257      -6.5209      10.2745      0.5456       4.3504       -0.1238      -4.5679      0.7972    
258      3.0994       -5.3422      -5.7864      -0.1668      1.8330       1.6149       0.3385    
259      -8.8977      -7.6679      8.4974       1.4351       1.3375       -1.7539      0.4437    
260      -4.0963      -6.5603      1.9394       3.3757       2.3691       -1.3269      0.1378    
261      7.5402       6.5935       -0.5505      -3.8028      4.4398       13.3120      0.7733    
262      24.3481      40.3354      14.1354      46.9018      94.9799      54.8530      0.4350    
263      -0.8294      -0.6508      1.9347       2.8777       -1.2926      -2.2726      0.2777    
264      6.6568       2.4794       -3.7561      -2.2916      -1.0363      1.0576       0.9270    
265      -4.0509      4.3120       -0.7940      1.8017       -1.6729      -0.0993      0.6905    
266      -5.8770      1.1289       7.9512       1.0770       0.4144       -3.3368      0.2186    
267      4.0905       5.6343       -4.9615      -0.8823      -1.4900      1.5387       0.5880    
268      1.6938       0.3113       -3.4187      -0.2586      0.2353       1.2242       0.6727    
269      4.5732       -5.6218      -0.7149      -1.1835      2.4897       0.0079       0.9926    
270      -8.5764      -3.3610      6.6591       -1.5751      -3.3580      2.0540       0.6544    
271      -5.4541      -2.8765      4.8754       1.5244       -0.0065      -1.7525      0.1318    
272      4.5017       -5.6244      7.6167       -0.9361      0.6645       -3.1080      0.3750    
273      6.5640       6.7160       -2.5873      -2.4769      -7.5453      0.5699       0.6337    
274      -1.7912      -1.1488      3.2571       1.0804       1.3268       -1.1872      0.8148    
275      -7.1994      0.9694       0.0742       2.0982       -1.0485      0.6076       0.6053    
276      0.9019       1.6374       2.6111       -0.6329      -0.5851      -2.1946      0.5484    
277      -7.4047      -7.6966      -2.9260      2.1564       2.2538       0.6238       0.5655    
278      -0.9657      -5.9779      -3.0450      0.4804       2.3482       0.9120       0.6384    
279      4.4275       8.4801       7.7463       -0.6636      -3.0650      -1.9439      0.8071    
280      -6.9692      -1.8207      5.2008       1.4967       0.1248       -3.2331      0.2660    
281      0.5531       -2.0626      -11.2657     21.8871      8.6613       -20.9572     0.5663    
282      -3.4178      7.5165       -3.8770      1.1908       -2.7359      1.7965       0.2675    
283      4.0396       -1.5715      -0.1100      -2.6691      -1.1024      0.4485       0.5468    
284      -0.9968      4.0684       4.1220       0.8051       -1.2863      -2.3311      0.7762    
285      2.9480       8.7175       -7.9499      1.4909       -0.0029      0.7691       0.3223    
286      7.0528       -3.9997      -3.9488      -2.1507      2.1117       1.2905       0.1588    
287      -0.2493      -8.0404      -7.4596      -0.4412      2.1049       3.6311       0.4700    
288      -2.8991      6.9924       -8.2702      0.4449       -2.1458      2.8813       0.9431    
289      -7.2527      -0.8588      -3.8114      3.3016       1.0565       2.2732       0.6888    
290      -5.2591      1.1870       -0.9741      1.4018       -0.3267      -0.4949      0.2027    
291      -5.7783      -4.6739      -4.4686      2.3558       1.7213       1.1564       0.2033    
292      6.4224       4.0211       -7.4597      -1.4947      -0.7468      2.3253       0.5125    
293      -0.9449      -2.7950      7.4617       -1.4349      13.3836      -3.3001      0.4706    
294      2.8413       0.9072       -7.4046      -0.3700      -0.0798      2.7301       0.1468    
295      5.0441       -4.9115      -4.5322      -1.3079      2.2016       0.6317       0.5674    
296      -5.2015      6.6346       6.6641       1.3540       -1.9121      -1.8993      0.9865    
297      4.8760       -8.3256      -7.9155      -1.1317      2.1843       1.5886       0.5480    
298      -6.9574      2.7426       5.8176       1.9435       -0.8737      -1.3661      0.2834    
299      0.5360       -3.3860      5.1007       0.1943       1.6962       -1.6409      0.4564    
300      6.7021       -0.3285      -4.3460      -4.2955      -3.2239      9.8928       0.8715    
301      7.3473       -4.2107      8.3695       -1.4711      0.6439       -2.5924      0.9046    
302      2.7143       -5.8150      -1.1375      -0.7051      2.4231       0.0960       0.8232    
303      0.2416       7.7611       -1.1164      0.2178       -3.2432      1.1490       0.2494    
304      5.9460       -2.0910      -4.7136      -2.9420      -1.0911      3.6635       0.7474    
305      16.2471      -13.9516     0.6465       13.8704      -8.9706      -6.1131      0.5867    
306      3.9447       -3.0527      -0.6183      -0.5892      1.3928       -0.1008      0.5448    
307      8.1619       -4.4792      -7.4551      2.2186       -1.5911      -1.4166      0.3159    
308      -5.9793      -2.5327      -1.4878      2.3660       1.0306       -1.3053      0.4171    
309      7.4458       -1.6603      8.0461       14.7515      -9.7077      -3.8615      0.3926    
310      3.0062       -7.3425      -6.5875      -3.4958      3.2251       -1.7434      0.3513    
311      2.0701       3.4918       0.1253       -1.6329      -0.7597      -0.0636      0.3736    
312      1.7606       8.7830       5.9453       -6.5068      2.7338       -4.9640      0.3343    
313      6.3592       2.5400       0.9391       -2.4577      -1.7941      0.2852       0.8781    
314      0.6782       -1.9879      7.5113       -0.4809      0.8444       -4.2160      0.7659    
315      7.3067       -4.5790      5.9672       -2.2277      -0.9527      -2.8533      0.8244    
316      -10.2626     6.1950       7.3262       0.3659       -3.9078      2.5046       0.8855    
317      -5.1166      -0.5160      -0.0524      6.1690       -10.8894     -1.5522      0.5219    
318      -1.9502      1.9288       -2.6706      4.7082       -0.2106      2.7905       0.9126    
319      6.3129       2.6337       1.2359       -3.5802      -0.5102      -2.2345      0.3156    
320      6.0307       -8.7212      1.5921       -0.2398      0.1600       -0.6743      0.1573    
321      5.8048       1.8666       -6.3964      -1.5605      -0.4577      2.6046       0.8464    
322      6.5060       1.5048       0.2148       -3.0164      -0.3947      -0.0418      0.7965    
323      1.8345       6.3137       -0.5675      -0.1597      -3.3775      1.2382       0.7324    
324      -4.5780      0.1762       -6.6533      1.5122       -0.4017      2.5125       0.9555    
325      1.6153       8.5544       1.2710       -0.4527      5.4177       1.6324       0.4257    
326      2.1048       -7.3710      -6.4526      5.7400       3.7463       1.5458       0.5338    
327      -5.2855      2.0131       -3.9124      1.5428       -0.2699      0.9891       0.1069    
328      -5.2447      -7.8136      -7.4181      0.8449       2.8835       1.0779       0.5614    
